127.0.0.1 - - [27/Feb/2016:12:17:36 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Feb/2016:12:17:52 -0300] "GET /FinanceiroJPA/ HTTP/1.1" 200 1396
0:0:0:0:0:0:0:1 - - [27/Feb/2016:12:17:56 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml;jsessionid=893E1FC173D41DDAC91E4C15B06367E8?ln=css HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [27/Feb/2016:12:18:05 -0300] "GET /FinanceiroJPA/ HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [27/Feb/2016:12:18:05 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [27/Feb/2016:12:18:05 -0300] "GET /FinanceiroJPA/imagens/tela.png HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:18:13 -0300] "POST /FinanceiroJPA/Login.xhtml HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:18:13 -0300] "GET /FinanceiroJPA/imagens/logo.png HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:18:13 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:18:13 -0300] "GET /FinanceiroJPA/imagens/vibra_tech.png HTTP/1.1" 200 24023
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:18:13 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 200 147802
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:03 -0300] "GET /FinanceiroJPA/ConsultaLancamento.xhtml HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:03 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:03 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:03 -0300] "GET /FinanceiroJPA/javax.faces.resource/consulta-lancamentos.css.xhtml?ln=css HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:03 -0300] "GET /FinanceiroJPA/imagens/editar.png HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:03 -0300] "GET /FinanceiroJPA/imagens/receita.png HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:03 -0300] "GET /FinanceiroJPA/imagens/excluir.png HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:03 -0300] "GET /FinanceiroJPA/imagens/despesa.png HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:05 -0300] "GET /FinanceiroJPA/CadastroLancamento.xhtml HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:05 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:05 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:55 -0300] "POST /FinanceiroJPA/CadastroLancamento.xhtml HTTP/1.1" 200 4126
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:20:56 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&amp;stage=Development HTTP/1.1" 200 147802
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:21:02 -0300] "GET /FinanceiroJPA/ConsultaLancamento.xhtml HTTP/1.1" 200 6071
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:21:02 -0300] "GET /FinanceiroJPA/javax.faces.resource/consulta-lancamentos.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:21:02 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:21:02 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:21:23 -0300] "POST /FinanceiroJPA/ConsultaLancamento.xhtml HTTP/1.1" 200 3913
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:21:37 -0300] "GET /FinanceiroJPA/CadastroLancamento.xhtml?codigo=1 HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:21:38 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [27/Feb/2016:12:21:38 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
